Year,Month,Platform,Channel,KPI,Actual,Target
2025,Jul,Customer Portal,Horeca,Order Frequency,4.2,
2025,Jul,Customer Portal,Horeca,Fulfillment Rate %,100,
2025,Jul,Customer Portal,Horeca,Digital Order Share %,2.1,
2025,Jul,Customer Portal,Horeca,Volume UC,9633,11532
2025,Jul,Customer Portal,Horeca,UC per Order,56,
2025,Jul,Customer Portal,Horeca,Digital Volume Share %,0.3,
2025,Aug,Customer Portal,Horeca,Registered Customers,99,150
2025,Aug,Customer Portal,Horeca,Active Customers,45,75
2025,Aug,Customer Portal,Horeca,Delivered Orders,158,300
2025,Aug,Customer Portal,Horeca,Order Frequency,3.5,
2025,Aug,Customer Portal,Horeca,Fulfillment Rate %,100,
2025,Aug,Customer Portal,Horeca,Digital Order Share %,1.7,
2025,Aug,Customer Portal,Horeca,Volume UC,5398,16151
2025,Aug,Customer Portal,Horeca,UC per Order,34,
2025,Aug,Customer Portal,Horeca,Digital Volume Share %,0.37,
2025,Jan,Customer Portal,DSD,Registered Customers,6084,5850
2025,Jan,Customer Portal,DSD,Active Customers,1046,995
2025,Jan,Customer Portal,DSD,Delivered Orders,1567,1492
2025,Jan,Customer Portal,DSD,Order Frequency,1.5,
2025,Jan,Customer Portal,DSD,Fulfillment Rate %,73,
2025,Jan,Customer Portal,DSD,Digital Order Share %,1.27,
2025,Jan,Customer Portal,DSD,Volume UC,89875,18770
2025,Jan,Customer Portal,DSD,UC per Order,42,
2025,Jan,Customer Portal,DSD,Digital Volume Share %,1.73,
2025,Feb,Customer Portal,DSD,Registered Customers,7136,6300
2025,Feb,Customer Portal,DSD,Active Customers,1264,1071
2025,Feb,Customer Portal,DSD,Delivered Orders,1921,1607
2025,Feb,Customer Portal,DSD,Order Frequency,1.5,
2025,Feb,Customer Portal,DSD,Fulfillment Rate %,65,
2025,Feb,Customer Portal,DSD,Digital Order Share %,1.34,
2025,Feb,Customer Portal,DSD,Volume UC,117600,24919
2025,Feb,Customer Portal,DSD,UC per Order,40,
2025,Feb,Customer Portal,DSD,Digital Volume Share %,1.85,
2025,Mar,Customer Portal,DSD,Registered Customers,6820,6750
2025,Mar,Customer Portal,DSD,Active Customers,989,1148
2025,Mar,Customer Portal,DSD,Delivered Orders,1595,1721
2025,Mar,Customer Portal,DSD,Order Frequency,1.6,
2025,Mar,Customer Portal,DSD,Fulfillment Rate %,70,
2025,Mar,Customer Portal,DSD,Digital Order Share %,0.89,
2025,Mar,Customer Portal,DSD,Volume UC,138500,40460
2025,Mar,Customer Portal,DSD,UC per Order,61,
2025,Mar,Customer Portal,DSD,Digital Volume Share %,1.36,
2025,Apr,Customer Portal,DSD,Registered Customers,7232,7755
2025,Apr,Customer Portal,DSD,Active Customers,725,1551
2025,Apr,Customer Portal,DSD,Delivered Orders,1205,2327
2025,Apr,Customer Portal,DSD,Order Frequency,1.7,
2025,Apr,Customer Portal,DSD,Fulfillment Rate %,75,
2025,Apr,Customer Portal,DSD,Digital Order Share %,0.8,
2025,Apr,Customer Portal,DSD,Volume UC,96500,44444
2025,Apr,Customer Portal,DSD,UC per Order,60,
2025,Apr,Customer Portal,DSD,Digital Volume Share %,1.15,
2025,May,Customer Portal,DSD,Registered Customers,7419,8085
2025,May,Customer Portal,DSD,Active Customers,753,1617
2025,May,Customer Portal,DSD,Delivered Orders,1433,2426
2025,May,Customer Portal,DSD,Order Frequency,1.9,
2025,May,Customer Portal,DSD,Fulfillment Rate %,81,
2025,May,Customer Portal,DSD,Digital Order Share %,0.8,
2025,May,Customer Portal,DSD,Volume UC,118923,51751
2025,May,Customer Portal,DSD,UC per Order,67,
2025,May,Customer Portal,DSD,Digital Volume Share %,1.21,
2025,Jun,Customer Portal,DSD,Registered Customers,8793,8415
2025,Jun,Customer Portal,DSD,Active Customers,2572,1683
2025,Jun,Customer Portal,DSD,Delivered Orders,4581,2525
2025,Jun,Customer Portal,DSD,Order Frequency,1.8,
2025,Jun,Customer Portal,DSD,Fulfillment Rate %,81,
2025,Jun,Customer Portal,DSD,Digital Order Share %,2.04,
2025,Jun,Customer Portal,DSD,Volume UC,370167,76798
2025,Jun,Customer Portal,DSD,UC per Order,65,
2025,Jun,Customer Portal,DSD,Digital Volume Share %,2.64,
2025,Jul,Customer Portal,DSD,Registered Customers,10021,9010
2025,Jul,Customer Portal,DSD,Active Customers,4318,2613
2025,Jul,Customer Portal,DSD,Delivered Orders,7355,4703
2025,Jul,Customer Portal,DSD,Order Frequency,1.7,
2025,Jul,Customer Portal,DSD,Fulfillment Rate %,79,
2025,Jul,Customer Portal,DSD,Digital Order Share %,3.58,
2025,Jul,Customer Portal,DSD,Volume UC,507494,153872
2025,Jul,Customer Portal,DSD,UC per Order,55,
2025,Jul,Customer Portal,DSD,Digital Volume Share %,5.01,
2025,Aug,Customer Portal,DSD,Registered Customers,9403,9350
2025,Aug,Customer Portal,DSD,Active Customers,4575,2712
2025,Aug,Customer Portal,DSD,Delivered Orders,8933,4881
2025,Aug,Customer Portal,DSD,Order Frequency,2,
